Date,Time,Currency,News,Impact,Forecast,Previous
2017-03-15,7:30,USD,Core Retail Sales (m/m),high,0.10%,1.2%*
2017-03-15,13:00,USD,Federal Funds Rate,high,1.00%,0.75%
2017-03-16,All Day,JPY,BoJ Policy Statement and Governor Kuroda Press Conference,high,Unknown,Unknown
2017-03-16,5:00,EUR,CPI (y/y),high,2.00%,2.00%
2017-03-16,7:00,GBP,BoE Monetary Policy Committee Meeting and Rate Decision,high,Unknown,Unknown
2017-03-16,7:00,GBP,BoE MPC minutes released,high,Unknown,Unknown
2017-03-16,7:00,GBP,Official Bank Rate,high,0.25%,0.25%
2017-03-16,7:00,GBP,Asset Purchase Facility,high,435.0B,435.0B
2017-03-16,7:00,GBP,BoE Monetary Policy Committee Meeting and Rate Decision,high,Unknown,Unknown
2017-03-17,9:00,USD,UoM Consumer Sentiment Index,high,97,96.3
2017-03-21,4:30,GBP,CPI (m/m),high,0.50%,-0.50%
2017-03-21,4:30,GBP,CPI (y/y),high,2.10%,1.80%
2017-03-21,18:50,JPY,BoJ Release Minutes,high,Unknown,Unknown
2017-03-23,4:30,GBP,Retail Sales (m/m),high,0.40%,-0.5%*
2017-03-23,4:30,GBP,Core Retail Sales (m/m),high,0.30%,-0.3%*
2017-03-23,4:30,GBP,Retail Sales (y/y),high,2.60%,1.0%*
2017-03-23,4:30,GBP,Core Retail Sales (y/y),high,3.20%,2.1%*
2017-03-27,3:00,EUR,German IFO Current Conditions,high,118.3,118.4
2017-03-27,3:00,EUR,German IFO Business Climate,high,111.1,111.1*
2017-03-27,3:00,EUR,German IFO Expectations,high,104.3,104.2*
2017-03-28,9:00,USD,Consumer Confidence,high,114,116.1*
2017-03-30,7:30,USD,GDP (q/q ann),high,2.00%,1.90%
2017-03-31,3:30,GBP,GDP (Final) (q/q),high,0.70%,0.70%
2017-03-31,3:30,GBP,GDP (Final) (y/y),high,2.00%,2.00%
2017-03-31,4:00,EUR,CPI (y/y),high,1.80%,2.00%
2017-03-31,9:00,USD,UoM Consumer Sentiment Index,high,97.6,97.6
2017-04-03,9:00,USD,ISM Manufacturing,high,57.2,57.7
2017-04-05,7:15,USD,ADP National Employment Report,high,185.0k,298.0k
2017-04-05,9:00,USD,ISM Non-Manufacturing,high,57,57.6
2017-04-05,12:00,USD,Federal Reserve FOMC Meeting Minutes,high,Unknown,Unknown
2017-04-07,3:30,GBP,Manufacturing Production (m/m),high,0.30%,-1.0%*
2017-04-07,3:30,GBP,Manufacturing Production (y/y),high,3.90%,2.6%*
2017-04-07,7:30,USD,Private Payrolls,high,170.0k,221.0k*
2017-04-07,7:30,USD,Nonfarm Payrolls,high,180.0k,219.0k*
2017-04-07,7:30,USD,Unemployment Rate,high,4.70%,4.70%
2017-04-07,7:30,USD,Average Hourly Earnings (m/m),high,0.20%,0.20%
2017-04-11,3:30,GBP,CPI (m/m),high,0.30%,0.70%
2017-04-11,3:30,GBP,CPI (y/y),high,2.30%,2.30%
2017-04-11,4:00,EUR,ZEW (Economic Sentiment),high,Unknown,25.6
2017-04-13,7:30,USD,PPI (m/m),high,0.00%,0.3%*
2017-04-13,9:00,USD,UoM Consumer Sentiment Index,high,96.5,96.9
2017-04-14,All Day,EUR,German Market Holiday - Good Friday,high,Unknown,Unknown
2017-04-14,All Day,GBP,Market Holiday - Good Friday,high,Unknown,Unknown
2017-04-14,6:30,USD,Retail Sales (m/m),high,-0.20%,-0.3%*
2017-04-14,6:30,USD,Core Retail Sales (m/m),high,0.30%,0.0%*
2017-04-14,7:30,USD,CPI (m/m),high,0.00%,0.10%
2017-04-14,7:30,USD,Core CPI (m/m),high,0.20%,0.20%
2017-04-17,All Day,EUR,French Market Holiday - Easter Monday,high,Unknown,Unknown
2017-04-17,All Day,EUR,German Market Holiday - Easter Monday,high,Unknown,Unknown
2017-04-17,All Day,GBP,Market Holiday - Easter Monday,high,Unknown,Unknown
2017-04-19,All Day,JPY,Cabinet Office April Economic Report,high,Unknown,Unknown
2017-04-19,4:00,EUR,CPI (y/y),high,1.50%,1.50%
2017-04-21,3:30,GBP,Retail Sales (m/m),high,-0.50%,1.7%*
2017-04-21,3:30,GBP,Core Retail Sales (m/m),high,-0.50%,1.6%*
2017-04-21,3:30,GBP,Core Retail Sales (y/y),high,3.80%,4.10%
2017-04-21,3:30,GBP,Retail Sales (y/y),high,3.30%,3.70%
2017-04-24,2:00,EUR,German IFO Current Conditions,high,119.2,119.5*
2017-04-24,2:00,EUR,German IFO Business Climate,high,112.4,112.3
2017-04-24,2:00,EUR,German IFO Expectations,high,105.9,105.7
2017-04-25,9:00,USD,Consumer Confidence,high,122.5,124.9*
2017-04-26,All Day,EUR,German Frankfurt Finance Summit,high,Unknown,Unknown
2017-04-27,All Day,JPY,BoJ Outlook Report,high,Unknown,Unknown
2017-04-27,1:30,JPY,BoJ Policy Statement and Governor Kuroda Press Conference,high,Unknown,Unknown
2017-04-27,6:45,EUR,ECB Interest Rate Decision,high,0.00%,0.00%
2017-04-27,6:45,EUR,ECB - Deposit Rate,high,-0.40%,-0.40%
2017-04-27,7:30,EUR,ECB President Draghi gives press conference following interest rate announcement,high,Unknown,Unknown
2017-04-28,3:30,GBP,GDP (Prelim) (q/q),high,0.40%,0.70%
2017-04-28,3:30,GBP,GDP (Prelim) (y/y),high,2.20%,1.90%
2017-04-28,4:00,EUR,CPI (y/y),high,1.80%,1.50%
2017-04-28,7:30,USD,GDP (q/q ann),high,1.00%,2.10%
2017-04-28,9:00,USD,UoM Consumer Sentiment Index,high,98,98
2017-04-29,All Day,JPY,Market Holiday - Showa Day,high,Unknown,Unknown
2017-05-01,All Day,EUR,French Market Holiday - Labour Day,high,Unknown,Unknown
2017-05-01,All Day,GBP,Market Holiday - Early May Bank Holiday,high,Unknown,Unknown
2017-05-01,All Day,EUR,German Market Holiday - Labour Day,high,Unknown,Unknown
2017-05-01,9:00,USD,ISM Manufacturing,high,56.5,57.2
2017-05-02,All Day,JPY,BoJ Release Minutes,high,Unknown,Unknown
2017-05-02,7:15,EUR,Germany's Schaueble Speaks in Berlin,high,Unknown,Unknown
2017-05-03,All Day,JPY,Market Holiday - Constitutional Memorial Day,high,Unknown,Unknown
2017-05-03,4:00,EUR,EU's Barnier Speaks in Brussels,high,Unknown,Unknown
2017-05-03,7:15,USD,ADP National Employment Report,high,175.0k,263.0k
2017-05-03,9:00,USD,ISM Non-Manufacturing,high,55.8,55.2
2017-05-03,13:00,USD,Federal Funds Rate,high,1.00%,1.00%
2017-05-03,13:00,USD,Federal Reserve FOMC meeting,high,Unknown,Unknown
2017-05-04,All Day,JPY,Market Holiday - Greenery Day,high,Unknown,Unknown
2017-05-05,All Day,JPY,Market Holiday - Childrens Day,high,Unknown,Unknown
2017-05-05,7:30,USD,Unemployment Rate,high,4.60%,4.50%
2017-05-05,7:30,USD,Average Hourly Earnings (m/m),high,0.30%,0.1%*
2017-05-05,7:30,USD,Nonfarm Payrolls,high,190.0k,79.0k*
2017-05-05,7:30,USD,Private Payrolls,high,190.0k,77.0k*
2017-05-07,All Day,EUR,French Presidential Election,high,Unknown,Unknown
